PART_DETAIL_ID,PART_OF_TEST_ID,TEST_ID,AUDIO_LINK,IMAGE_LINK
1,1,1,https://englishpracticetest.net/wp-content/uploads/2021/11/ket-practice-listening-test-01-part-1.mp3?_=1,
2,2,1,https://englishpracticetest.net/wp-content/uploads/2021/11/ket-practice-listening-test-01-part-3.mp3?_=1,
3,3,1,https://englishpracticetest.net/wp-content/uploads/2021/11/ket-practice-listening-test-01-part-4.mp3?_=1,
4,4,1,https://englishpracticetest.net/wp-content/uploads/2021/11/ket-practice-listening-test-02-part-1.mp3?_=1,
5,5,1,,
6,6,1,,
7,7,1,,
8,8,1,,
9,1,2,,
10,2,2,,
11,3,2,,
12,4,2,,
13,5,2,,
14,6,2,,
15,7,2,,
16,8,2,,
17,1,3,,
18,2,3,,
19,3,3,,
20,4,3,,
21,5,3,,
22,6,3,,
23,7,3,,
24,8,3,,